aapl	320193
msft	789019
goog	1652044
amzn	1018724
tsla	1318605
fb	1326801
ge	40545
brk-a	1067983
tsm	1046179
v	1403161
jpm	19617
unh	731766
jnj	200406
spy	884394
hd	354950
lvmuy	824046
pg	80424
wmt	104169
bac	70858
ma	1141391
asml	937966
pfe	78003
baba	1577552
dis	1744489
avgo	1730168
adbe	796343
nflx	1065280
lly	59478
nke	320187
csco	858877
xom	34088
acn	1467373
tmo	97745
tm	1094517
nvo	353278
ko	21344
orcl	1341439
abt	1800
cost	909832
abbv	1551152
pep	77476
crm	1108524
cmcsa	1166691
dhr	313616
cvx	93410
pypl	1633917
vz	732712
intc	50863
qcom	804328
wfc	72971
mcd	63908
nvs	1114448
mrk	310158
ups	1090727
nvda	1045810
ms	895421
amd	2488
nee	753308
t	732717
low	60667
lin	1707925
shop	1594805
intu	896878
txn	97476
rds-a	1306965
sap	1000184
unp	100885
schw	316709
sony	313838
qqq	1067839
bhp	811809
azn	901832
tmus	1283699
vwdry	1330306
ry	1000275
bbl	1171264
pm	1413329
hon	773840
amat	6951
bmy	14272
mdt	1613103
blk	1364742
ul	217410
tte	879764
td	947263
ptr	1108329
cvs	64803
sbux	829224
axp	4962
el	1001250
gs	886982
rtx	101829
amgn	318154
now	1373715
deo	835403
amt	1053507
sny	1121404
c	831001
hsbc	1089113
chtr	1091667
bud	1668717
ba	12927
rtntf	887028
pld	1045609
ibm	51143
hdb	1144967
se	1703399
zts	1555280
spgi	64040
cat	18230
antm	1156039
gsk	1131399
tgt	27419
de	315189
jd	1549802
mu	723125
infy	1067491
abnb	1559720
rio	863064
snow	1640147
lfc	1268896
adp	8670
mmm	66740
syk	310764
lrcx	707549
eadsy	1378580
mrna	1682852
idexy	1438656
bkng	1075531
team	1650372
cop	1163165
lmt	936468
bx	1393818
bam	1001085
bp	313807
mdlz	1103982
gild	882095
shw	89800
eqnr	1140625
tjx	109198
mo	764180
mmc	62709
cni	16868
cci	1051470
cb	896159
bti	1303523
bns	9631
usb	36104
pnc	713676
hca	860730
uber	1543151
cme	1156375
gm	1467858
sftby	1065521
cta-pa	30554
f	37996
ew	1099800
duk	1326160
tfc	92230
enb	895728
ci	1739940
atlcy	748954
ice	1571949
sq	1512673
abb	1091587
itw	49826
mco	1059556
snap	1564408
eqix	1101239
pdd	1737806
mrvl	1835632
bdx	10795
nsc	702165
vale	917851
mufg	67088
snp	1123658
fisv	798354
so	92122
cl	21665
njdcy	1158967
pbr	1119639
amx	1129137
coin	1679788
bmo	927971
wday	1327811
wm	823768
apd	2969
fis	1136893
fdx	1048911
ibn	1103838
etn	1551182
glncy	1524684
regn	872589
ntes	1110646
aon	315293
cof	927628
ecl	31462
klac	319201
adi	6281
psa	1393311
nxpi	1413447
race	1648416
ubs	1610520
meli	1099590
d	715957
adsk	769397
relx	929869
noc	1133421
bntx	1776985
bsx	885725
fcx	831259
rbgly	1420798
ifnny	1107457
hum	49071
pgr	80661
stla	1605484
gd	40533
rblx	1315098
tri	1075124
vrtx	875320
ftnt	1262039
sxyay	1575851
info	1598014
san	891478
jci	833444
zm	1585521
wbk	719245
snps	883241
ilmn	1110803
dxcm	1093557
ddog	1561550
idxx	874716
emr	32604
panw	1327567
met	1099219
xlnx	743988
ing	1039765
chgcy	1453934
mar	1048286
exc	1109357
